vtkOriginalIndices,vtkOriginalPointIds,Points:0,Points:1,Points:2,__vtkIsSelected__,velocity:0,velocity:1,velocity:2
0,19406,0.389803,2.8703,-5.75634,0,15.7358,11.1168,-52.4504
1,34488,0.555035,2.8235,-5.71918,0,15.6664,9.7308,-48.3366
2,31216,0.612226,2.92549,-5.80119,0,14.8417,8.83726,-48.9968
3,40693,0.495463,2.93958,-5.89043,0,15.6965,10.0435,-52.13
4,29978,0.280934,3.20218,-6.51012,0,13.8831,6.18497,-56.2849
5,30372,0.38965,3.22545,-6.60544,0,13.9812,5.48349,-57.3529
6,19454,0.377245,3.3453,-6.5222,0,13.3836,5.43931,-55.3749
7,44950,0.279525,3.30462,-6.63887,0,14.4875,5.3882,-57.3759
8,23245,0.643699,3.08871,-5.69155,0,15.0877,9.83876,-50.0003
9,27434,0.608411,3.22627,-5.64864,0,13.9475,10.3094,-50.1833
10,26655,0.54918,3.21381,-5.78409,0,14.0385,7.92907,-48.1565
11,45856,0.694322,3.16549,-5.81856,0,14.2746,9.48116,-50.1815
12,13715,0.640348,2.56323,-5.54258,0,19.4624,15.0791,-62.6804
13,24237,0.703726,2.53179,-5.40349,0,18.641,15.7675,-62.0175
14,23817,0.510964,2.5519,-5.44063,0,17.7551,14.9997,-58.7077
15,35622,0.652427,2.64529,-5.34184,0,17.6991,13.9438,-56.7773
16,23645,0.223423,3.05454,-6.21783,0,14.3331,8.63249,-53.5624
17,27787,0.150517,3.20096,-6.14768,0,14.4313,8.34378,-52.4767
18,15455,0.0669654,3.0593,-6.07967,0,16.2164,10.3644,-53.0914
19,30164,0.0632621,3.06447,-6.24179,0,14.7763,11.0868,-54.7053
20,15789,0.408926,2.3677,-5.78831,0,20.551,15.0276,-59.7212
21,29433,0.430548,2.2855,-5.53145,0,17.4376,14.7158,-53.1399
22,27404,0.504134,2.4446,-5.70619,0,19.9619,15.2689,-59.7
23,30767,0.53199,2.29697,-5.73249,0,14.0165,9.01785,-38.0106
24,18554,-0.121563,3.21152,-5.47746,0,15.2379,13.2666,-51.8241
25,33629,-0.0329781,3.09893,-5.55345,0,14.933,11.9144,-48.6303
26,31276,-0.0106378,3.15276,-5.33431,0,13.3696,11.4724,-46.9729
27,34966,0.0132381,3.2382,-5.5329,0,14.8152,11.364,-49.4476
28,14225,-0.0752551,2.80757,-5.79293,0,16.2716,14.1564,-51.0419
29,39877,-0.19229,2.87748,-5.82928,0,18.8542,15.5233,-56.4991
30,18338,-0.114657,2.91319,-5.94178,0,18.9676,15.0209,-56.0503
31,43062,-0.0921818,2.94619,-5.76137,0,17.0765,13.8624,-51.5109
32,18269,-0.0191209,3.57219,-5.6349,0,12.7367,7.55483,-49.7221
33,29153,0.0799739,3.61624,-5.52215,0,11.1533,6.24093,-49.308
34,5407,0.0140574,3.74845,-5.57358,0,0,0,0
35,43356,0.0122838,3.62637,-5.75145,0,9.327,7.75496,-47.2018
36,39573,0.337455,3.07176,-6.55989,0,14.7355,6.88265,-57.0103
37,25438,0.376846,3.03376,-6.7002,0,14.1564,5.97116,-56.3367
38,40556,0.250273,3.05877,-6.66168,0,14.6716,7.7657,-58.1999
39,21403,0.281877,3.28965,-5.91239,0,13.8222,7.75374,-50.5489
40,33796,0.375293,3.31361,-6.02593,0,13.3921,7.02537,-49.1205
41,17175,0.321733,3.19561,-6.09941,0,14.8879,8.64497,-53.4943
42,36471,0.362166,3.15078,-5.92936,0,14.7897,8.70918,-52.8496
43,31732,0.0201803,2.98067,-5.95864,0,17.3264,12.775,-53.1608
44,34013,-0.0666698,3.01638,-6.06411,0,16.7367,13.2581,-55.7816
45,41802,-0.00056164,2.87131,-6.05815,0,15.7312,12.549,-53.8013
46,15947,0.780337,2.58764,-6.17801,0,18.0796,10.4389,-58.6176
47,24213,0.949229,2.62232,-6.22494,0,9.0984,6.85703,-51.7452
48,18754,0.782487,2.78945,-6.26296,0,15.9327,11.0906,-60.1917
49,27211,0.702707,2.66163,-6.28643,0,18.6919,11.7411,-61.799
50,42342,0.188357,2.97857,-5.55691,0,15.1666,12.271,-50.4923
51,43969,0.144383,3.08776,-5.72268,0,15.0554,10.857,-50.4851
52,35526,0.144673,3.15326,-5.58477,0,14.5276,10.4241,-48.8683
53,45382,0.0216255,2.98989,-5.6515,0,14.8452,11.8875,-49.0199
54,15673,0.380871,3.45925,-5.99512,0,13.6848,6.73384,-51.9563
55,33593,0.479879,3.54455,-5.85866,0,15.7562,7.3086,-60.7167
56,32641,0.433376,3.34513,-5.8918,0,13.5903,7.6337,-47.5839
57,36543,0.388973,3.44674,-5.7917,0,13.7552,8.32627,-50.2879
58,24720,0.788798,2.48437,-6.3289,0,7.29083,7.45375,-51.6308
59,28473,0.630624,2.44031,-6.24855,0,11.7495,9.29077,-54.3435
60,46830,0.807949,2.45192,-6.16076,0,7.37344,4.46459,-39.9808
61,23094,0.478182,3.17423,-6.50063,0,13.8875,6.42681,-57.7437
62,24379,0.584849,3.23971,-6.3982,0,13.6453,6.11518,-55.0323
63,13745,0.509774,3.12767,-6.30893,0,14.7397,7.49337,-56.563
64,25000,0.38249,3.12658,-6.39233,0,14.3038,7.34218,-56.5043
65,17375,0.111845,2.3078,-5.67242,0,18.8618,12.5428,-51.0402
66,21025,0.29503,2.31489,-5.65337,0,18.4903,15.4024,-56.7386
67,14227,0.175362,2.42075,-5.56148,0,17.5657,16.3476,-58.1292
68,27246,0.233843,2.43598,-5.68771,0,18.4331,15.6392,-59.879
69,18861,0.209656,3.65486,-6.47481,0,12.7026,3.99766,-61.8369
70,32362,0.160702,3.54512,-6.55645,0,15.7526,5.43677,-65.0904
71,26326,0.330671,3.49286,-6.50617,0,14.2459,4.3443,-58.2457
72,33727,0.294074,3.57907,-6.6215,0,15.6207,4.82805,-61.8955
73,24775,0.0889869,2.49916,-5.89848,0,22.9407,15.6426,-61.4659
74,34906,0.0806749,2.58825,-6.03499,0,22.6349,15.2113,-62.7604
75,17249,-0.0850247,2.60432,-5.89252,0,22.1868,17.0639,-60.2268
76,41276,-0.0439502,2.48099,-5.98805,0,20.4357,12.3038,-46.1111
77,19688,0.165044,2.84271,-5.87985,0,16.443,11.7212,-51.147
78,30913,0.192027,2.77221,-6.00862,0,17.7034,12.1898,-52.9285
79,29349,0.0152665,2.83575,-5.91401,0,16.6274,13.2916,-51.7179
80,44871,0.0620012,2.7255,-5.98642,0,18.5538,14.9968,-57.142
81,22694,-0.0845225,2.97828,-6.33671,0,20.7615,13.7592,-69.6218
82,36501,-0.0302267,3.13488,-6.35212,0,17.0864,11.699,-61.6299
83,42648,-0.0723033,3.03539,-6.20594,0,16.1568,12.1739,-57.5925
84,28097,0.107631,2.7969,-6.12922,0,16.4689,12.9652,-55.9861
85,26867,0.213296,2.63444,-6.06944,0,20.2122,15.0871,-62.2803
86,26671,0.198838,2.7303,-6.21025,0,16.4586,12.0111,-58.4856
87,34797,0.15474,2.61808,-6.29661,0,24.3944,16.5294,-67.452
88,25338,0.118808,2.54223,-6.17432,0,22.8464,12.8837,-61.9232
89,46164,0.292526,2.62534,-6.26299,0,18.9895,12.1444,-63.6494
90,20306,0.0183163,2.69137,-6.1149,0,20.126,14.7193,-61.5979
91,18221,0.290414,3.23627,-6.34085,0,14.0134,6.78795,-54.8256
92,38246,0.335724,3.37158,-6.38204,0,13.767,6.08445,-54.6243
93,31624,0.673601,3.34875,-5.70456,0,16.0902,10.4267,-56.9009
94,34632,0.542942,3.34583,-5.81258,0,13.166,8.64242,-47.7638
95,17241,-0.0301778,3.1917,-6.66768,0,16.2848,8.51853,-64.8323
96,29945,-0.0396685,3.30673,-6.52621,0,17.1698,9.85363,-66.2214
97,27760,-0.00565549,3.17407,-6.49643,0,17.1845,11.1338,-64.806
98,31334,-0.159122,3.24025,-6.61473,0,12.1417,3.08945,-51.9518
99,19017,0.132408,2.50561,-5.75442,0,18.4215,16.5105,-59.6121
100,25690,0.272446,2.56127,-5.63871,0,15.9915,13.6592,-53.1549
101,27966,0.194829,2.6208,-5.7294,0,16.962,13.8394,-52.8481
102,15084,-0.0779972,3.41575,-5.63015,0,15.7968,11.4447,-56.2953
103,36412,-0.155219,3.3153,-5.69123,0,16.4523,12.071,-55.0448
104,21819,-0.196459,3.5061,-5.63957,0,9.43066,7.13239,-35.9468
105,42724,-0.271006,3.43067,-5.5717,0,9.04378,9.09579,-36.3079
106,15265,-0.315534,3.1456,-5.63541,0,13.6607,13.6698,-51.8305
107,25036,-0.147196,3.18246,-5.64569,0,15.9847,13.5586,-54.1485
108,16616,-0.333487,3.22158,-5.78942,0,16.769,11.0487,-52.4713
109,25959,-0.224178,3.08421,-5.72254,0,16.489,14.988,-53.9615
110,27386,0.599856,2.42529,-5.59476,0,19.611,14.3708,-56.339
111,20929,0.454367,2.46473,-5.56893,0,18.7065,14.9374,-59.9598
112,17336,0.495515,2.58867,-5.73605,0,17.4089,11.9545,-56.1883
113,29155,0.566002,2.82604,-5.95312,0,14.9074,9.04321,-50.561
114,29480,0.52252,2.92843,-6.04803,0,15.2569,9.41444,-52.95
115,26681,0.735003,2.96132,-5.99224,0,14.0304,8.12298,-51.4586
116,39313,0.607675,3.02342,-5.98615,0,14.4467,8.09799,-51.0101
117,5510,0.310332,3.85802,-5.87577,0,0,0,0
118,5527,0.1904,3.83379,-6.03605,0,0,0,0
119,5486,0.147312,3.81438,-5.87046,0,0,0,0
120,21938,0.260104,3.71301,-5.92505,0,10.1077,5.63539,-44.5916
121,22117,0.303636,2.67452,-5.78479,0,17.1362,12.4596,-51.6504
122,30477,0.407492,2.78672,-5.90395,0,16.5454,11.3191,-52.6811
123,38348,0.290355,2.8059,-5.83032,0,16.2509,11.2109,-51.2572
124,5426,-0.224126,3.62415,-5.72667,0,0,0,0
125,5446,-0.0868205,3.70889,-5.72186,0,0,0,0
126,5470,-0.15837,3.67266,-5.88025,0,0,0,0
127,18219,-0.0674418,3.52753,-5.78863,0,13.0634,9.44623,-52.1588
128,5550,0.0812295,3.79738,-6.19775,0,0,0,0
129,26047,0.20536,3.71737,-6.16625,0,8.08976,2.6024,-42.1281
130,5588,0.254503,3.85518,-6.20361,0,0,0,0
131,39839,0.153027,3.69958,-6.30148,0,10.4461,1.90223,-42.6887
132,30610,0.0444497,2.79822,-5.4154,0,14.5601,12.9358,-48.3285
133,34846,0.159869,2.83247,-5.60206,0,15.8522,12.4409,-49.941
