vtkOriginalIndices,vtkOriginalPointIds,Points:0,Points:1,Points:2,__vtkIsSelected__,velocity:0,velocity:1,velocity:2
82,22473,0.0764649,2.35909,-2.32454,0,0.857286,18.1917,-59.3177
83,43257,0.0415895,2.47181,-2.22655,0,-0.526163,11.1751,-41.5891
84,16837,-0.0822815,1.84853,-1.06535,0,-2.03314,15.5667,-50.2281
85,29571,-0.166525,2.02934,-1.21534,0,-2.73524,17.8147,-57.7767
86,24927,-0.225773,1.8812,-1.24277,0,-1.85005,15.3013,-48.0007
87,35827,-0.129761,1.79172,-1.18715,0,-1.81521,15.0923,-45.9804
88,20794,-0.932863,2.40501,-2.91639,0,3.26319,16.8815,-42.0812
89,31823,-0.84942,2.2512,-2.91035,0,3.04048,19.5127,-55.2546
90,25502,-0.93518,2.309,-3.05558,0,3.98838,16.5858,-46.1993
91,45605,-0.991496,2.27532,-2.87119,0,2.225,14.7535,-36.4289
92,15678,-0.502664,1.05068,-1.56127,0,-1.48225,17.5113,-50.8044
93,30591,-0.371894,1.1719,-1.50502,0,-2.16167,17.2048,-46.3781
94,27508,-0.534614,1.13971,-1.40122,0,-2.06794,17.5716,-49.1407
95,42121,-0.447435,1.23315,-1.61072,0,-1.52525,17.7065,-47.5199
96,15623,0.00957428,2.25804,-2.38505,0,0.317056,18.9355,-55.4428
97,22177,0.102642,2.31855,-2.48655,0,1.13358,19.7652,-60.0395
98,19367,0.195917,2.31293,-2.36867,0,0.773842,17.2137,-58.6324
99,34766,-0.303842,1.31116,-1.54433,0,-1.85248,16.3232,-45.9864
100,45380,-0.171875,1.44048,-1.65174,0,-1.88281,17.1717,-47.4186
101,44333,-0.316127,1.4618,-1.59387,0,-1.48944,16.3789,-47.5552
102,47220,-0.208626,1.31419,-1.69001,0,-1.23567,16.5168,-46.2423
103,31671,-0.651619,1.50552,-1.4182,0,-1.2227,15.7076,-45.9605
104,37836,-0.795265,1.43184,-1.57712,0,-1.68368,17.352,-51.1469
105,24485,-0.640281,1.46399,-1.55755,0,-1.00159,16.2589,-46.2179
106,40770,-0.730994,1.58055,-1.55767,0,-0.777601,16.6131,-49.8612
107,4718,0.220742,1.34134,-2.84346,0,0,0,0
108,18353,0.111042,1.46157,-2.77527,0,4.15492,14.6592,-45.8617
